"post_id","cmt_author","cmt_content","cmt_created_at"
"7327151769","퇴장","개듣보짱개배터리~","2024.08.05 18:14"
"7327151769","바재앙아웃","퇴장 진짜 개듣보짱개배터리...","2024.08.05 18:15"
"7327151769","탐크루즈","불타는 특정환경을 알려줘야지~파라시스","2024.08.05 18:14"
"7327151769","대니머사이언티픽","그냥 폭탄을 판거지","2024.08.05 18:15"
"7327109298","퇴장","이번에 터진거 catl 배터리가 아니라 패러시스라는 개듣보잡 중국 배터리라 함","2024.08.05 17:59"
"7327109298","이정후","벤츠는 무슨 듣보잡이랑 계약했지 ㅋㅋ","2024.08.05 17:59"
"7327109298","머니뭐니해도머니","이정후 많이 남겨먹을려고 시발새끼들 ㅋㅋ","2024.08.05 18:02"
"7327109298","이정후","머니뭐니해도머니 존나 양아치넹","2024.08.05 18:08"
"7327079914","이모리","Catl인줄알았더니 패러시스 개듣보 배터리면..","2024.08.05 17:51"
"7327079914","K5gt","이모리 억장 무너질듯요 ㄷㄷ","2024.08.05 17:55"
"7327079914","씨개발자","주변에서 연락 졸라 받고있을듯..ㄷㄷ","2024.08.05 17:52"
"7327079914","K5gt","씨개발자 그래서 더 못 물어보겠음ㅋㅋㅋㅋ","2024.08.05 17:55"
"7327017687","그아탱","신생회사+짱깨으악","2024.08.05 17:33"
"7327017687","아이코닉글로우","벤츠새끼들 대가리에 총맞았나ㅋㅋ","2024.08.05 17:36"
"7327017687","문짜왕","1억짜리에 저딴 배터리를 넣네 ㅋㅋㅋ","2024.08.05 17:43"
"7327017687","자동세차","계획은 있었네.. 자회사화 하고 업체키워서 이후엔 사오지않고 직접공급하려 했던듯","2024.08.05 17:48"
"7327017687","우유장수","유럽은 산업자체가 중국에 먹혀서 무조건 짱개산 써야함","2024.08.05 17:48"
"7327017687","개냥이산책시킴","CATL은 세계 1위라 배짱 부릴테니 어디 듣보 스타트업 수준의 기업 지분 먹어서 알아서 하려고 했는 모양인데 배터리 수준이 재앙이니","2024.08.05 18:49"
"7326942418","둥옫","알려줄수 없다 근데 너희가 생각하는 그건 아니다","2024.08.05 17:12"
"7326942418","어몽오리뽀","짱츠 ㄷ ㄷㄷ","2024.08.05 17:13"
