"post_id","cmt_author","cmt_content","cmt_created_at"
"7349926259","크리에티브맨","전기차 과충전 방안 나오는거 보고 들가야할듯","2024.08.11 21:32"
"7349926259","바람인생","모두가 의심할때 들어간드아(사실 물려있음)","2024.08.11 21:40"
"7349926259","클루카이","인텔이랑은 궤가 다른거같은데","22 시간 전"
"7348592571","대관람차도차다","애초에 배터리 표기부터 교묘하게 숨기는 회사가 보상을 해줄지 모르겠네요","2024.08.11 14:36"
"7348592571","MLFA","저건 현대차가 과실 인정하고 보상해줬는데 거기에 더 보상해달라고 한 거 아님?","2024.08.11 14:42"
"7348592571","상경쥐","근데 벤츠가 배터리 관련된건 다 보상해준다고 하지 않음?","2024.08.11 14:43"
"7348592571","푸른마녀","정확히 말하면 LG 배터리랑 분배해서 리콜비용만 분담하고 불난 전기차는 어떻게 따로 보상했다는 애기는 못들었네요...코나 전기차때 그냥 단종시키고 나몰라라 한것도 있고..","2024.08.11 14:45"
"7348351668","밤탄양갱","짱츠ㄷㄷ","2024.08.11 13:10"
"7348115232","배수지","전기차는 화재고뭐고 다 떠나서 집밥없으면 추천안함","2024.08.11 11:18"
"7348115232","다시만든세계","배수지 ㅋㅋㅋ지금은 막상 차 살 생각 사라짐. 그냥 돈모와서 집사고 싶음..","2024.08.11 11:19"
"7348115232","한강오징어젓갈","그래도 그돈씨하시다가 논리적으로 스스로 자제!대단한 자제력!","2024.08.11 11:20"
"7348115232","다시만든세계","한강오징어젓갈 무여친 빌드로 프로젝트 중단시켰습니다.여친있을때는 사고 싶었는데없으니까 ㅎㅎ","2024.08.11 11:24"
"7348050643","M0nad","뭐라는거야","2024.08.11 10:41"
"7348050643","수호랑","불이 잘붙고 안붙고 문제가 아니라 전기차 화재 진압이 어려워서 그런거 아님?","2024.08.11 10:41"
"7348050643","포크바","수호랑 Bmw나 스팀세차  지하주차장 사건때도 다른차 모두 전소 됫슴 전기차만 유독 선동자들이 많음 단지 스팀세차나 bmw 전소시 특이사항은 스프링쿨러문제임 스프링쿨러 됫으먄 한대만 타고 말음  그리고 벤츠전기차는 폭발한것임","2024.08.11 10:44"
