"post_id","author","content","time"
"7315512880","시템모스니터","보험이 하지 않았을까?","2024.08.02 13:49"
"7315512880","뽕알마드리드","시템모스니터 결함 보상은안해줬나","2024.08.02 13:51"
"7315512880","killalot","코나 전기차는 이렇게 지하주차장 배관 다 녹이고 차 수백대 태우고 하는 사건이 안 생긴 것으로 앎","2024.08.02 13:50"
"7315512880","뽕알마드리드","killalot ㅇㅇ 그거말고 그냥 차 화재난거에대한 보상 결함인거로 나왔는데 보상해줬나해서","2024.08.02 13:51"
"7315512880","손이시려워꽁","한창 불날때 카페에 이거 언론에도알리고 무적권 공론화시킬거다 해놓고글삭하고 빤스런한거보면 보상은 받았겠지 입싹닫고다른전기차 타고다닌다는 카더라통신도있었음지금은 어떻게될지는 모르겠네","2024.08.02 13:57"
"7312076836","춤추는어피치","최근 판례보면 차주에게 책임 씌워질 일은 없을 듯.다만 차주의 손해와 별개로 사고에 휘말린 아파트 주민들의 경제적 손해가 어마 무시할 예정..전손 차량들 보상액은 보험개발원 차량 가액인데 이게 실거래가랑 갭이 워낙 크다 보니....저 단지에서 계속 거주하시긴 힘들지 않을까 싶음.현행법상 전손 사고의 경우 대부분 차주들이 독박 쓸 수밖에 없는 구조인데 플랫폼도 다양해졌겠다 이제 보험개발원 기준이 아니라 실거래가 기준으로 보상해 줘야 하지 않나 싶네.","2024.08.01 19:22"
"7312076836","레이눕방","금전적 손해는 없다고 쳐도 저 아파트에서 본인의 차량에서 시작된 화재로 인해 다수의 피해자가 발생되었단 사실만으로 죄책감이 클듯...무섭다 정말 ㅠㅜㅠㅜ","2024.08.01 14:34"
"7312076836","춤추는어피치","V8_4.2d 납득 안 가는 금액 많죠. 사실 엔카 시세만 참고해도 현실성 있는 보험가액 측정 가능할 텐데 계속 이대로 가는 건 피해자  손해를 암묵적으로 강요한다고 밖에...","2024.08.01 20:05"
"7312076836","나도할래","한강오징어젓갈 불 안날거에요.","2024.08.01 14:44"
"7312076836","타코야끼","지도다 그런대다가 지금 아파트들 대부분 주차장을 지하로 파내려가서 야외에 전용주차장 만들곳도 없음 ㅋㅋㅋ지방에 유명브랜드 아파트들은 지하에 전기차충전소를 야외로 다시 설치하는곳이 늘었고 전기차는 지하주차 금지 되는곳도 있다고 함","2024.08.01 21:03"
"7312076836","4시44분","전기차가 불에타든 터지든 좋다고 살사람은 사는듯 세금혜택받는다 유지비 적게든다 충전소주차장내자리다하면서 ㅋㅋ","2024.08.01 20:57"
"7312076836","찬찬찬찬이","4시44분 예전에 전기차 시기상조입니다. 하면서 전기차주들 그런댓글은 안 달리더라.","2024.08.01 21:01"
"7312076836","치킨중독자","솔까 차주가 무슨죄야 차에서 담배피다 불낸것도 아니고결함으로  불난건데","2024.08.01 20:57"
"7312076836","BAPE","전기차 충전 시설은 좀 지상에 만들라 해라","2024.08.01 20:57"
