"post_id","cmt_author","cmt_content","cmt_created_at"
"7329446547","뜨리뜨리포인트","아파트도 문제가 크네 화재 덜 하게 만들어주는 시설이 작동 안됬으니","2024.08.06 19:09"
"7329446547","좇내논","BMW 처럼 삼성SDI 제품을 쓰라고!!","2024.08.06 19:29"
"7329446547","주보린가드","저건 이제 둘중 하나임 시공점검 업체측에서 이거 장비 문제 있어서 바꿔야된다 뭐라뭐라 했다면아파트 관리비 ㅈㄴ 나오니까 내부의사투표해서 안하기로 했던거면 이제 아파트 사는사람들끼리 그냥 돈내야하는거고점검업체에서 이상없다고 했는데 저래 사고나고 스프링클러 작동X 이런거면 이제 점검업체랑 소방 선임걸었던관리사무소 직원 ㅈ된거임 아파트사람들이 ㅈ되거나 직원들 ㅈ되거나 둘중하나 당연하겠지만 보통아파트 사람들이 못하게 막는 경우가 허다해서 아마 아파트 사람들끼리 손해볼거 같긴함 보통 아파트나노후된 대형빌딩 등등 이제 바꿔야된다고해도 큰 돈 들어가서 미루고 미루는 경우가 많음사고나면 대형사고로 이어지는 시스템이라 아마 직원들이 문자로 증거 남겼으면 살아남고 아니면 GG스프링클러설비 솔직히 다시 전면 교체하는데 드는 비용이 기본 억단위라서 아파트 사는사람들 회의에서 통과쉽지 않다고 판단함 지어진지 얼마 안된 아파트라 사실상 시공사한테 싸워서 이기고 받아야내야하는거라서진짜 답없는 안타까운 상황인거 같음","2024.08.06 19:30"
"7329446547","카디오글루","ㅅㅂ 이름모를 배터리가 문제였구만","2024.08.06 19:32"
"7329446547","페리카나순살반반","진짜 짱츠됐네ㄷㄷ","2024.08.06 19:38"
"7329446547","노루궁뎅이벗어","스프링클러 작동되면 미친듯이 물 뿌려짐? 어느정도인지 시연영상 봐야겠다","2024.08.06 19:56"
"7329446547","양푼비빔밥","스프링클러는 초기소화에 ""절대적""임전기차 화재는 못끄더라도 정상 작동했으면 저만큼 피해는 절대안나왔음","2024.08.06 20:16"
"7329446547","엔믹스님","독일 짱깨 퓨전","2024.08.06 20:27"
"7329446547","오메가부스터","스프링쿨러 이슈 점점 커지면 지하주차장에 전기차 주차금지 표지판 무지하게 생길듯. 부실설비 뽀록날수도 잇는데 일단 막고 보려할듯","2024.08.06 20:32"
"7329446547","등뼈","오메가부스터 클","2024.08.07 07:42"
"7329446547","오메가부스터","등뼈 ㅇㅋ","2024.08.07 07:52"
"7329446547","Qawse03","짱깨가 글치머","2024.08.06 20:37"
"7329446547","상태헤롱","결국엔 화재 위험이 있는 배터리를 썼다는 거네","2024.08.06 20:42"
"7329446547","불의를보면참는","아니 배터리 업체를 속인거면 도요타 조작급 이슈아님? 벤츠 개미쳤네","2024.08.06 20:48"
"7329446547","미래콘","와 그래도 catl정도면 괜찮은거 아니냐 역시 짱개네 했는데 아니였다니 까비","2024.08.06 21:07"
"7329446547","한국어몰라요","전기차는 아직까진 그냥 테슬라가 답이다","2024.08.06 21:33"
"7329446547","Ill[IIII","전기차 자체가 안 꺼지는 지옥불이고화재 시 발화온도가 1500도임내연기관차랑은 근본적으로 다름스프링쿨러 안 터져도 내연기관차 화재에서 저렇게 된 건 유래가 없음아파트 기둥 허물어질 정도고 배관 다녹은 주차장 화재 가져와라수십년동안 전기차보다 몇천만배 많은 경우의 수중에 저런 건 있었나","2024.08.06 21:50"
"7329446547","등뼈","Ill[IIII 클","2024.08.07 07:42"
"7329446547","예천출신","스프링클러가 집중호우 같은 물세기임니들 오줌빨이 아니라","2024.08.06 22:17"
"7329446547","짱이는전사","벤츠..국내에서..나락 한번 가는건가..","2024.08.06 23:21"
"7329446547","CAGR30%","전기차는 독3 존나후발이고 개노답임ㅋㅋ 내연도 8기통급 아니면 그닥","2024.08.07 08:05"
"7329446547","어흥야옹멍멍","한국은 그래도 되는나라 맞구만","2024.08.07 10:43"
"7329446547","됬은없는말이야","벤츠 짱차라고 욕하면서 스트레스 풀기전에 화재점검부터 대비를 해야지.....에휴","2024.08.07 14:08"
