"post_id","cmt_content","cmt_author","cmt_created_at"
"3880357","물에 빠진사람 구해주면 보따리 내놓으라 한다더니..","비키셈급해여","20.08.18 09:40"
"3853709","요즘 러시아선원들이 일부러 코로나 치료하려고 온다고 하더군요. 제발 입국금지 좀 시행합시다. 해외유입자만 막아도 10명 이하로 나오는 확진자가 저 해외유입벌레들 때문에 수십명을 웃돌잖아요.","일벌백계","20.08.03 18:25"
"3793191","주작이더라도사실 내용은 상당히 좋았네요..훌륭한 일을 하셨네요.","푸울그림","20.07.01 12:23"
"3745141","과충전 방지장치 같은게 불량이거나 하자 일듯 한데....원가절감이 원인이 아니길 빈다","서울욘사마","20.06.01 21:50"
"1922470","전기차 불나는건 어쩔수 없음요. 이래서 아직 시기상조인거고 타이칸도 불나던데요 머","윤아바라기","20.05.31 03:24"
