"post_id","cmt_content","cmt_author","cmt_created_at"
"3713128","ㅋㅋㅋㅋ","2푸돌8","20.05.15 17:25"
"3690638","가게 정리하시고 그돈으로 마지막여행이라도 한번 갔으면 생각이 달라졌을텐데.. 안타깝네요","ㅇㅋ","20.05.04 10:23"
"676794","헉.. 차량을 직접볼수가없으니.. 구..구경만 하겠습니당..","검은봉투","20.05.03 01:58"
"3688049","나도맞추것다. . .이미중국에코로나발병해있었고 봄철건소시기에불만날나는거고","술뿐이야","20.05.02 23:42"
"3686222","좆선스럽다...ㅉㅉㅉㅉㅉ","이도페이","20.05.02 15:13"
"628126","그렇군요.. 경찰쪽에서 증거로 확보한거라 개인소장은 불가하다고해서요 가해자는 블박영상 미제출한다고 하더라구요 메모리카드 어쩌고 하면서 병원은 일반의원 입니다","jij0003","20.04.14 14:26"
"381073","추모글 남기고 왔네요","skorea","20.03.27 11:29"
"3569501","저기 저 마지막 구절이...소방관의 아내로서 너무 마음이 아픕니다ㅜㅜ제발 더 이상의 순직은 없길 바랍니다.","닉네임같은거","20.03.17 20:30"
