"post_id","cmt_content","cmt_author","cmt_created_at"
"661217","5 만키로 탔습니다","assist7","20.12.14 22:14"
"2146677","유튜버 오토포스트 또는 인싸케이에 도움을 요청하시면 상세한 방법 알려주면서 보상 받을 수 있도록 도와줍니다","CHEOLKIM","20.12.13 20:45"
"1989556","많다는건 주관적인거지 절대 고소 고발 성립 안됌 ㅇㅇ쫄지마셈","634345","20.12.10 15:03"
"2139217","진실은 송사에 의해 가려지겠죠사법절차로 풀 문제를 행정부에 제기하는건 정말 보기 안좋은것 같습니다주장하는게 진실이라면 박명장님 때처럼 명예회복은 알아서 따라올겁니다","rbnfi123","20.12.04 11:34"
"2128039","아..난청 왔나 보군요..안타깝네요 잘 못알아듯는 고통이 이루 말할수 없습니다.보청기가 고장이 안났으면 당초분실을 안했을 껍니다. 블루투스로 연결 위치찾기 기능이 있거든요.저는 니들 보청기가 고장나 발생한 사항이라고 주장하는거구요..전에 외장베터리 보청기는 아무 문제가 없었는데 내장쓰다보니 문제가 있네요.제조사는 쉬쉬하구있구요.우리나라의 고질적인 문제 이러다 인사사고나 화재사고 나서야..나라에서 움직이니...ㅜ","r1150r","20.11.18 21:10"
