"post_id","cmt_content","cmt_author","cmt_created_at"
"2021872","E GMP와 완전신차의메리트는 결국 없었던걸로..","실버주블리","21.03.26 21:24"
"2019290","괜춘한데? 미래 디자인 대세는 심플임","같이좀살자응","21.03.17 04:09"
"1333819","볼트 시승해보고 싶네요 ㅎㅎㅎ","PorscheGT2","21.03.17 09:35"
"2221871","안타깝네요... 도시가스관이 폭발한건가? 궁금하네요... 해결이 잘 되었으면...","커다란치킨","21.03.11 11:01"
"2220515","1/21일 신차 장착후 2/21일리콜후 2/27일 트렁크화재 벤츠 E250 수리비 1800나왔는데 자차진행중입니다ㅡㅡ..보조배터리 제조사에서 렌트 한달 그랜저로 타고있으나..수리는 6월에나될것같은데..렌트는어찌나올찌..","wwang75","21.03.14 22:55"
"2016997","중국에서 만들면 엘지도 별수없네","성기사is킹","21.03.06 12:29"
