"post_id","cmt_content","cmt_author","cmt_created_at"
"2321031","이중주차가 없어야 하는데","일번은나","24.08.10 21:29"
"6262405","웬일로 벤츠에서 45억이나 기부 하는데요?많이 남겠는데요","사담후세인","24.08.10 22:10"
"6262113","PL법","차챠차우룰루","24.08.10 13:25"
"6262094","@로또1등함하자하부충격 받을만큼 평소 주행습관이 뭐가있음?보통 과속하다가도 방지턱 만나면 속도 줄이는데ㅋ","저능아보면댓글다는형","24.08.11 21:03"
"6261753","여론안좋아 지고 ㅈ될거 같으니까 지원 ㅋ뭐 인정한거나 마찬가지지 인도적 차원은 무슨","커세어뱀","24.08.09 23:22"
"708732","이새끼들 책임회피하려고 인도적차원이라는 단어를 도용하고 지랄이네","gasolin0","24.08.11 11:50"
"6261699","45억도 벤츠에 감사해야해요. 나 몰라하면 답 없음. 원인 규명이 안됨","강한보배","24.08.10 22:30"
"6261689","이것이야 말로 방구석 젖문가....","대리청정","24.08.10 01:35"
"2320882","걍 벤츠가 전기차 못만듬.거기에배터리도 문제라서 그런거에요.뭔...","Shuri","24.08.09 22:59"
