"post_id","cmt_content","cmt_author","cmt_created_at"
"6255808","2찍 대구 이만희 시진핑 다 대지시고","레인28","24.08.03 18:15"
"3133198","중국에서 상용화하기 위해 부단히 노력중인걸로 들었네요.안전성을 따지면 그나마 인산철 배터리가 선택지이구요...현재 리튬배터리는... 아직 너무 위험하죠.. 리튬물질 자체가 발화가 잘되어서 ... 화학시간에 교수님이 리튬이 매우 불안정한 위험물질이라고 예전에 하신 말씀이 아직도 기억나네요...","마이스타일","24.08.04 00:16"
"2319570","Ncm 저 배터리를 벤츠가 참나","삼점삼터보","24.08.03 14:13"
"2319565","중국산 밧데리를 쓰는 벤츠가 잘못한것","판테라ig","24.08.03 13:43"
"6255305","건물은 멀쩡할지몰겠네요","활인검","24.08.03 03:04"
"6255272","벤츠도 이번에 중국산 배터리가 얼마나 쓰레기인지 알게됐고 벤츠도 중국산 배터리 손절할듯","대전지은남편","24.08.02 23:48"
"2319494","고민될정도면 취소하는게 맞다고봅니다","Cooper3","24.08.05 10:35"
"2319478","보험회사가 파산하던가벤츠코랴가 파산하던가둘중 하나 ㄷㄷㄷ","볏짚상하차","24.08.02 21:52"
"6255180","벤츠 상호 바꾸겠다 짱츠.현츠.기츠...등등","jangceo","24.08.02 21:28"
