post_id,cmt_content,cmt_author,cmt_created_at
1531668,어쩐지 발화 cctv 끝까지안보여주고 불나고 끝나더라구요,로하파IEV6I동탄,2024-08-07 16:55:00
1531668,스프링클러가 제대로 작동했다면 화재를 이렇게 키우지 않았을꺼라고 해도 이미 전기차 잘못으로ㅜㅜ,센양I모델3I안산,2024-08-07 16:57:00
1531668,근데 스프링클러로인해 관리사무소및 입대의 과실로 몰고갈 경우 대부분의 아파트에서 전기차 지하주차장 주차 금지 할 가능성 높을듯. 스프링클러가 다 온전히 터진다는 보장도 없으니 애초에 리스크 차단하려고 할듯,열풍파파l서울,2024-08-07 17:10:00
1531668,222...이말도 일리있어요. 생각치못하게 흘러갈수도 있고.. 차라리 묻따말 벤츠가 다 물어주면 갓츠라고 믿고 전기차 살텐데 서로 회피하면 누가 전기차 사나요,서울사람IGV60I서울,2024-08-07 17:13:00
1531668,스프링클러 안터지면 내연차도 이꼴 납니다. 그럼 애초에 지하엔 모든차량이 들어가면 안되겠네요 ㅋ 참고로 내연차가 발화 확률이 더 높구요.,용칼I아이오닉5I포항,2024-08-07 17:36:00
1531668,그건 맞는데 문제는 전기차가 진화가 어렵다는 점이겠죠. 스프링클러 미작동시 피해규모가 내연차에비해 훨씬 클거라는 건 이번 화재사건에서도 볼수있구요.,열풍파파l서울,2024-08-07 17:40:00
1531668,내연차 화재사고 안보셨죠? 스프링클러 없으면 똑같습니다.,용칼I아이오닉5I포항,2024-08-07 17:40:00
1531668,https://naver.me/FRLDdxoS,용칼I아이오닉5I포항,2024-08-07 17:42:00
1531668,요거보시고도 같은생각이시면 어쩔수 없구요.,용칼I아이오닉5I포항,2024-08-07 17:44:00
1531668,유튜브 댓글 보면 아직도 스프링클러 터지면 오히려 악화된다는 뇌가 없는 국민들이 많더군요,폴쉐타I폴스타2I서울,2024-08-07 18:06:00
1531668,스프링클러에서 물대신 기름이 나오는줄 아나보죠,서훈I볼트euvI당진,2024-08-07 21:01:00
1531580,누가있데요? 요약좀 해주시지,곰도리아빠I수원,2024-08-07 16:06:00
1531580,조회수 올려주기 싫어서 손이 안가네요..,후니I오닉6I충남,2024-08-07 16:06:00
1531580,요약좀,딥블루샤크l서울,2024-08-07 16:09:00
1531580,뒷부분만 봤는데요 1.100% 라고 말 못하지만 차주 는 책임이 없을것이다 2. 아파트 화재 보험사가 배상하고 제조회사 및 판매사에 소송 하겠지만 승소하기 어렵다 3. 아파트 화재 보험사에서 보상 안해주는 피해 손해액은 입주민이 분담 해야 할 거 같다 . 4. 법이 제조사에게 유리하게 되어 있다 . 국회의원들이 바꿀려고 노력했는데 반대가 심했다 . ** 이 분 말이 진리는 아닙니다 하지만 아파트 주민들이 피해액의 상당 부분을 감당해야 한다는 결론이 나면 … 아파트 뿐만 아니라 빌딩건물 회사 상가 주차장 이용에 상당한 불편함을 초래 할 수 도 있습니다,피터I세종,2024-08-07 16:54:00
1531580,그래도 교통쪽에서는 이름있는 변호사인데 영향력은 어느정도 있을것으로 보여지네요,쀏l아5넥쏘l경기,2024-08-07 16:35:00
1531580,제조사에서 배상하겠다고 나서지 않는 한 소송까지 가면 결론이 나기까지 오래 걸리겠네요,피터I세종,2024-08-07 16:38:00
1531580,피해자가 벤츠차량이 불나게 잘못관리한 책임을 입증해야한다. 벤츠보험사는 피해본 사람에게 대인보상 책임이 있다.,곰탈I볼트ev3I경기,2024-08-07 16:34:00
1531580,차주의 (고의적 관리적)과실이 없으면 책임이 없다라는 대법원 판결이 있어요. 한마디로 화재 여지가 있는 고장 혹은 우려가 었음에도 수리를 지원하는 그런 거 아니라면 책임이 없다입니다 bmw 차주들이 대형사고를 냈어도 파산 하지 않은 이유가 있지요,소중한꿈I아6I수원,2024-08-07 16:53:00
1531580,대법원 판례로 차주는 책임없음벤츠의 책임 문제는 급발진하고 엮어서 책임지을수 없다고 말함 (책임지게 만들려면 급발진 건에 힘을 실어줘야함)스프링클러는 전기차 화재 못끈다고 살짝 언급하고 지나감 (확산방지 얘기는 안함)끝날때쯤 급발진 영상보여주며 설명,소멸은신I모델YI인천,2024-08-07 16:53:00
1531580,"차주의 무과실 설명위해 예시를 든 대법원 판결 4번이 다 내연차 화재더군요. 하지만, 전기차만 나쁜거겠죠.",소멸은신I모델YI인천,2024-08-07 16:55:00
1531580,대충봤는데 더 난감하네요...주변 차주들이 차주(보험사)에게 구상권 청구했는데 기각이 돼서 차주(보험사)에게 손해배상을 못 받네요그럼 이제 자동차 제조사에게 청구해야 하는데우리나라 레몬법은 피해자가 결함을 입증해야 되서 또 못 받네요..그럼 주변에 있던 차들은 그냥 자차 처리하라는건데...ㅎㅎㅎㅎㅎ심각하네요....ㅎㅎㅎㅎ,달려라l경남,2024-08-07 18:00:00
1531580,차주가 든 보험은 대물 5억,해오름lEV6l대전,2024-08-07 18:01:00
1531564,그냥 그 제품 배터리는 전체 리콜하는거 밖에 답 없을듯 합니다,김지훈1234,2024-08-07 15:51:00
1531564,리콜 배터리 교체 해야 합니다,아이뽀IEQESUVI송도,2024-08-07 15:52:00
1531564,중국에서 리콜이력도 있다하니 리콜은 당연한 부분이죠,앙롱I청주,2024-08-07 15:55:00
1531564,리콜이 배터리 교체 리콜 이라고는 나오지는 않고 리콜로만 기사가 보이니 소프트웨어인지 단순 부품인지 모르겠네요 쉐보레 볼트처럼 배터리 전체 교체를 해줘야 할텐데 말이죠,아이뽀IEQESUVI송도,2024-08-07 15:58:00
1531564,배터리 전량 교체+서스펜션 높이 수정,경기lEtron모델yl짜,2024-08-07 15:59:00
1531564,고온다습 시 화재 위험으로 리콜했죠 그사실을 알고도 벤츠는 안했다는건데,유강호I아5I일산,2024-08-07 16:42:00
1531561,이사람은 좀 거르죠 에코프로 포퓨 물린 개미들 생각하면,morgan8274lgv60l광명,2024-08-07 15:50:00
1531561,주식 가격은 개인의 선택이라.,수IeGV70I경기,2024-08-07 16:01:00
1531561,조금 전에 저도 봤습니다. 이번 화재로 소비자들이 자동차 제조사 브랜드보다 제원상 밧데리 제조사를 면밀히 살피게 될 것 같습니다.,존델리인천,2024-08-07 15:51:00
1531561,결론은 차량 제조사가 배터리 세부 정보를 고지하도록 만드는게 중요한거 같네요.,수IeGV70I경기,2024-08-07 15:54:00
1531561,저 빡빡이 아저씨 주식관련 얘기는 그냥 거르고 배터리 관련 인사이트만 놓고 보면 그래도 참고할만 하더라고요.,성남I꼬미삐약,2024-08-07 16:03:00
1531561,"이게 맞는 방향입니다.주식이야 자기 여유돈 투자하는 건데. 더 알아봐야 되는 거고.다른 이야기들은 들어보고 의심하고 그러면서 하는 거지.이분이 짱* 라고 욕하고 그랬는데, 결국 이번에 증명이 된거잖아요.",수IeGV70I경기,2024-08-07 16:05:00
1531561,패러시스 공장이 터키에도 있다고 하더라고요. EQE 파우치셀이 터키 공장에서 만들어져서 독일 브레맨으로 공급된다고 합니다.,꼬미삐약I성남,2024-08-07 16:44:00
1531561,그렇군요. 그러면 독일 생산 EQE에도 있을수 있군요,수IeGV70I경기,2024-08-07 16:58:00
1531561,이 사람은 너무 편향적이라 거르는게 낫다고 봄. 중국산 배터리 전체와 LFP 전체를 깎아내리잖아요 ㅋㅋ 전기차도 테슬라는 걸르고... gm이랑 포드가 최고라는 사람을...,레딧Ii4I송도,2024-08-07 16:10:00
1531561,그럼 이번에 ev6 화재에 대해선 뭐라고 할건지 궁금하네요생산 조립자가 중국인이다? 결국 국내 배터리관련주에 영향이 있을까봐 저런 콘텐츠도 만드는거 아닌가 싶네요,폭스원I고양,2024-08-07 16:11:00
1531561,기술적으로도 그다지 깊이나 전문성은 없는 사람이라고 봅니다,블루헌터I충남,2024-08-07 16:24:00
1531561,이 사람은 정상이 아니죠 ㄱㅌㄱㅇ 랑 동급,독립투사I용인,2024-08-07 16:29:00
1531536,저도 구매할당시 뭐에 홀린거처럼 차가 앞에 있더라구요정신차려보니 현재상황입니다,레인Ieqs4504I서울,2024-08-07 15:36:00
1531536,솔직히 화재에 대한 생각을 하지 못 했습니다. 그냥 충전 불편함만 고민했지.. 구입당시 여러 매체를 오랜기간 보았지만 안전 문제를 심각하게 다루는 건 보지 못했습니다. 작년 부터 본격적으로 이슈가 된거 같고 이번 사고로 극대화 되었네요.,니콜라IGV60I평촌,2024-08-07 15:53:00
1531536,충전 불편만 집밥 회사밥 있는지 여부 지역내 인프라가 어느정도인지만 봤지 불이 날거라고는... 더군다나 청라화재처럼 크게 날 거라곤 생각을 못했습니다,아이포II4I부산,2024-08-07 15:58:00
1531535,"세계 1위가 안전 1위는 아니고 판매량 1위 일텐데, 그냥 세계 1위라고 하는 기사. 안전도 1위는 아니겠죠?",아이뽀IEQESUVI송도,2024-08-07 15:40:00
1531535,"셀 별로 안전도에 대한 유의미한 통계가 없고, 테스트는 거의 완성차 업체들이 하니, 완성차 업체들이 테스트 결과를 모두 공개하지 않는 이상, 안전성의 우열을 내세울 수 있는 데이터는 없습니다.",디오니ㅣ모3ㅣ서울,2024-08-07 15:44:00
1531535,벤츠 감성인건가 1억이 넘는 전기차를 구매하면서 가장 핵심 부품인 배터리 종류를 센터가서 확인해야 한다니 말이 되는건가 싶네요,폭스원I고양,2024-08-07 15:53:00
1531535,"""EQE가 국산 배터리인줄 알았는데 속았다"" 는 다소 과장된 표현인 듯 싶구요, 동아일보(2022년 4월19일자) 기사 발 벤츠 부사장 인터뷰 내용 중 ""EQS에 이어 EQE CATL 배터리가 탑재""라는 기사에 속았다라고 하면 일리가 있죠. 구매자들 대부분 그렇게 알고 차량을 구매하지 않았을까요? 빌어먹을 파라시스라뇨!!!! 한두달 후 화재 원인이 공식적으로 발표된 후 벤츠사의 대응 지켜보겠습니다.",캡틴수학ㅣEQEㅣ경기,2024-08-07 15:58:00
1531535,이말이 맞죠ㅋㅋ저도 CATL배터리인줄 알고 구매한것입니다.국산배터리인줄 알고 구매했다는 차주는없을걸요Eqe안타시는분들이야 그럴수있겠지만요,저시IEQEI분당,2024-08-07 16:20:00
1531535,저도 작년 6월 구매할당시 나름 차량에 대해서 알아볼 때 CATL 밧데리로 알았고 딜러분도 동일하게 말씀하셨습니다. 지금 벤츠서비스센타에 와 문의해보니 밧데리제조사 확인이 가능한지에 대한 여부도 잘 모르시고벤츠서비스센타에서도 밧데리관련 문의가 많아 본사에문의를 해도 알려주지 않는다고 하네요...엊그제 딜러분과의 통화에서도 딜러분께서도 교육을받을 당시 CATL밧데리로 교육받고 알고 계셨다고하시네요...,피카츄IEQEI충남,2024-08-07 16:31:00
1531464,방송국이 떠들어야 벤츠가 움직이려나 ㅜㅜ,5N굿ㅣ경기,2024-08-07 14:50:00
1531464,전부 내 잘못이 아니라고 할터인데... 진짜 오래 걸리겠네요.,량띠I코나evI충남,2024-08-07 14:50:00
1531464,"1%라도 과실 잡히면 정말 난감한 상황이네요.. 분명 아파트 관리실, 벤츠, 베터리회사, 차주 소송전하면 결과는 한참 뒤에나 나올거고 아파트 주민분들만 고생하시겠네요.. 자차 안드신 피해자분들도 있는거 같던데",독l예정l서울,2024-08-07 14:53:00
1531464,분명 차주보다는 제조사와 스프링클러(아파트관리)가 문제였는데 말씀하신대로 1%로라도 뭔가 트집잡히면 아주 물고 늘어질것같은데... 차주도 매우 고독하고 어려운 싸움이 될수도 있을것같고 아파트 주민분들이 매우 힘들어 하시겠네요ㅠ,전유친I이트론55I경기,2024-08-07 15:03:00
