post_id,cmt_content,cmt_author,cmt_created_at
1524968,아쉬운 상황이네요...,정민기Ieg80I서울,2024-08-02 10:32:00
1524968,충전시설을 전부 옥외로 설치해야한다,러샤I 포터I 일산,2024-08-02 10:34:00
1524968,이게 팩트인데 아직도 화재발생률이 하이브리드가 높다 내연차량이 높다고 말씀하시는 분들이 계시다는게 너무 씁쓸해요 😭 제 주변에만 그런생각 가지신 분들이 없길 바랍니다.,코카I9l경기,2024-08-02 10:36:00
1524968,"그냥 물타기 에요, 누가 하이브리드차량 보고 아 저거 터지면 어떡하지 라는 생각을 합니까 배터리 크기 자체가 다른데,,",KEIDOlEQBl분당,2024-08-02 10:37:00
1524968,카페보면 물타기 불타기 하시는 분들 .. 그분들이 제조사 직원이거나 영업쪽이면 먹고 살기 위해 그런다 이해하지만 … 그런게 아니라면 어리석은 행동입니다,피터I세종,2024-08-02 10:42:00
1524968,그냥 옥외로 설치하라고 해야겠네요.,아싸I아이오닉5I서울,2024-08-02 10:37:00
1524968,"조사 결과 2020년 부터 중국 정부에서도 경고한 배터리가 맞다면, 이번건 과연 제조사가 책임질지, 지켜봐야 겠네요.확실하게 차량 제조사, 배터리 제조사가 책임지지 않는다면 다른 제조사 차량들도 같은 취급을 받게 될거 같은데 이러면 곤란한 상황이 될거 같네요. 제조사등이 책임질 수 있게 해야 됩니다. 현기는 어찌되었든 여론에 의해 압박이 가능하고.기존 코나 사태등 이전 이력이 있으니 혹시나 추가로 문제가 생겨도 해결이 아마도 가능할거 같네요.물론 비공식 개조등이 있었는지도 확인 해야 겠지만..",수IeGV70I경기,2024-08-02 10:41:00
1524968,과연 국내에서 대기업이 인정을 한사례가 얼마나될까요사제로 블박이라도 달았다면 그거가지고도 이유를20가지 만들겁니다,경기ll열심열중,2024-08-02 10:42:00
1524968,"이미 코나화재 리콜 케이스가 있는데,그때 개인이 보상했던가요?어쨌든 그냥 국산차 까는거 이해는 하지만, 케이스 별로 구분을 해보는게 나을거 같네요",수IeGV70I경기,2024-08-02 10:46:00
1524968,"더더구나아직도 새배터리 교체 받겠다고, 리콜 안 하고 있는 코나, 니로 EV 차주분들이 400명 정도 된다니,어짜피 현기에서 다 책임진다는 생각인가. 그분들은..리콜 안하고 생긴 화재는 제조사에서 보상 안해줄거 같은데",수IeGV70I경기,2024-08-02 10:48:00
